,course,channel_name,playlist_id
181,SQL,9rayti f Click,PLKV6WevXj-lU5zg4019yKygsSyT4v-4yq
182,Learn SQL - By Naveen AutomationLabs,Naveen AutomationLabs,PLFGoYjJG_fqqZy9yuDVIO-2AppE60B4AS
183,SQL Server Interview Questions and Answers,Training2SQL MSBI,PLmhoQ1nd8VnT7KBSTmgEPNh82GQPXstU3
184,Sql Server Course شرح بالعربي,Ali Shahin,PLv3VqjyehAoTPEc-D3RsgjuemwfZeX3uf
185,SQL Server Replication,metamanager,PLbkU_gVPZ7OT8gcTJQ0uTi9r4uyZJmUcP
186,Practice Questions on SQL,Uncode - Competitive Programming,PLAa4Q914LSAYRSkrmdnURxjhy2-wZIpz2
187,PL/SQL Collections in Oracle Database by Manish Sharma for RebellionRIder.com,Manish Sharma,PLL_LQvNX4xKwiW-ogQEKgaj8Ub-Qc4B42
188,HackerRank Practice Sql,kagaya john,PLtfRFndo6b7ItAgHzhtqs_qXDFnqmpLVS
189,Linguaggio SQL,Cinzia Bocchi,PLpvhonIffEltb6FbuoGFR-c5WLEphVhXK
190,SQL Server Basics,SQL with Manoj,PLU9JMEzjCv14f3cWDhubPaddxRvx1reKR
191,📌 Aprender SQL SERVER Desde Cero 📊,Franklin García,PL1vDASG8ZwjCyDr9WZ4-E88Nx1RxbyGD5
192,SQL căn bản,TEDU Channel,PLRhlTlpDUWszfsELaD02LNcoyClNd0bS8
193,ORACLE SQL VERİ TABANI EĞİTİM SETİ TÜRKÇE ORACLE SQL DERSLERİ,SORU ÇÖZÜM EĞİTİM VE YAZILIM KANALI,PLstEgQdEnMSbYS9RmSVqxLZtV1k67KZQx
194,Curso de Firebird (SQL),Daniel Morais Infocotidiano,PLiLrXujC4CW3Y8lU4NYLmE6zN7qAhSR7_
195,كورس SQL and Databaseبالعربي-ITI,Mobarmg,PLzCpl3aBwaY5nZX-QoWj9GQ_LKn4ZRJOr
196,สอน SQL เบื้องต้น สำหรับ Data Analytics,prasertcbs,PLoTScYm9O0GEi5TcWdFY-X2XqXcEdvQiO
197,SQL Server Administration for Absolute Beginners,SQL Server,PL9ffmFZ41Bp2mcGr3OtOtdoP3JJTAqU93
198,SQL in Tamil (தமிழில்  SQL),Payilagam,PLgWpUXNR_WCd-oMh-n6LhRYyNZjiiPVGm
199,Curso de SQL Server 2017 Desde Cero,CodeStack,PLYAyQauAPx8nUhTpsDF8x3bSDvMWQAsZ5
200,SQL in Tamil (தமிழில்  SQL),Payilagam,PLgWpUXNR_WCd-oMh-n6LhRYyNZjiiPVGm
201,Curso de SQL Server 2017 Desde Cero,CodeStack,PLYAyQauAPx8nUhTpsDF8x3bSDvMWQAsZ5
202,Querying with Transact-SQL,Francisco Javier Naranjo Cepeda,PLar0ZIPrNX9ftDSmaD2tO32wjjSEAYU-P
203,كورس Advanced SQL بالعربي-ITI,Mobarmg,PLzCpl3aBwaY7gmtzsQSn0bry1LDSKuJkj
204,SQL for Beginners (MySQL),SDET - QA Automation Techie,PLUDwpEzHYYLvWEwDxZViN1shP-pGyZdtT
205,PL/SQL Tutorials for beginners  (Advance SQL)   By Manish Sharma www.RebellionRider.com,Manish Sharma,PLMlNiWEoh5Qofm_RmXf-VD_C423CsUN3e
206,SQL SERVER - Banco de Dados Passo a Passo,Alessandro Trovato,PL7iAT8C5wumpQWB8AFW7CwK2nlzh8ZdP9
207,Microsoft SQL-Server für blutige Anfänger,Daniel Beckemeier,PLcnT0JqQtWqOJsQE_ox3RdbZDuLUpLE7j
208,1- برنامج لإدارة عيادة طبيب الأسنان C# &amp; Sql Server,فريق الإبداع البرمجي - Creative programming team,PLrs_0usUwZu8GVD4TS_5177Y_ER2mNHav
209,PL/SQL,Parteek Bhatia: Simplifying Computer Education,PLVCEF4zOWjkifoEBe_KFovoMXe-QfsPai
210,Advanced SQL Tutorial,Kartik Mundhra,PL9s3MxAKcfg9Iifeqk88F4jFHYu82hMEh
211,MS SQL Server Tutorial for Beginners in Hindi,Ishwar Academy,PLysly0KYnAY08stX1R_xDayz-jlALgfAg
212,قواعد البيانات وأوامر SQL و PHPMyAdmin,Learn With Naw,PLt0HRIA9i35u3gO_8m8C-fhTEjPJQ7dr_
213,SQL SERVER PERFORMANCE TUNING,SS UNITECH,PLNRxk1s77zfhi4wqdhfrnKy97FVy28sVB
214,Step by step tutorial on Joins in SQL / Oracle : SQL tutorial for beginners,Manish Sharma,PLMlNiWEoh5Qpy-AzQAJdt26M0LXS7DgxQ
215,Microsoft SQL Server (Base de datos),LearnWtutorials,PLhbcXfA7vHX7Bid-iAIsjuCOWWuNHsAtI
216,Lập trình CSDL Sql Server với Windows Form,Thành Đỗ,PLMI-61XivrDr3W22JAyK-H7kfq0MueNUg
217,ปูพื้นฐาน SQL สำหรับจัดการฐานข้อมูล [2020],KongRuksiam Official,PLltVQYLz1BMAP6veiejiMdwX7J9GqmkZS
218,تعلم مبادئ SQL,نظام Nezam,PLbJF4g421wql4qDK-vNJSZoAjG7VWvxyp
219,SQL for Beginners (Oracle),SDET - QA Automation Techie,PLUDwpEzHYYLtzLBvuO9hN7ee5Mcy2ydSB
220,Oracle PL/SQL Dersleri,Şafak ÇAKIR,PLfusR98SaeH_R9d6SiuseYpo87ffqRs_X
221,SQL and PLSQL,Kishan Mashru,PLTbN5PPRsw2sH6VwNIXi48FXxH80a_sqE
222,Cours SQL de A à Z avec exercices corrigés,Lhouceine OUHAMZA,PL7HGekTat9aLdNW-23ZqEF_SgDZOd3jeD
223,SQL Server 2012 Tutorial,baghul,PLNllHqB1O2zpOaa62Cd50PZoM9lyiPfml
224,FUNDAMENTOS DE SQL (La Serie),Eliezer De León,PLINy58Bvq5_KD8DQgUBPdAarYQ-CBbDpm
225,SQL Tutorial for Beginners,Navin Reddy,PLGwb7xZHg-oMva1rB4mqK6qSPiUoGuAor
226,SQL会计软件华语教学课程,syntaxtechnologies,PL5fR9QcRlu_J8sCxoxCh_pnRBZTue0ueo
227,Oracle SQL Scenario based interview questions,raj raj,PLaIYQ9kvDKjroSixUUJJEdlvh-jr8X3ER
228,PostgreSQL Tutorial for Beginners | Learn SQL Queries using PostgreSQL and PgAdmin 4 | Beginner&#39;s Guide to PostgreSQL,ProgrammingKnowledge,PLS1QulWo1RIa-sDLWbP01sEnlm_Bxmvqs
229,My SQL,Hassouna Academy,PLHIfW1KZRIflO4GPp9vMtUgry-xAQKl7i
