,course,channel_name,playlist_id
166,Build a Backend REST API with Python &amp; Django (Beginner Course),London App Developer,PL8GFhcuc_fW4cxdkRtWIlln1DQ3CZwQen
167,Python Data Science and Big Data Tutorials In Hindi,CodeWithHarry,PLu0W_9lII9agK8pojo23OHiNz3Jm6VQCH
168,Curso de Python con Django de 0 a Máster | Español,AlgoriSoft,PLxm9hnvxnn-j5ZDOgQS63UIBxQytPdCG7
169,Python Game Programming using Pygame and Python 3,buildwithpython,PLhTjy8cBISEo3SzET7Fc3-b4miKWp41yX
170,Python для начинающих,alishev,PLAma_mKffTOSY12JZS6l8lxKCpooPVcrn
171,PYTHON Programmation - Cours complet et exercices corrigés en vidéo,jaicompris Maths,PL_ZtK1TB2InpOSbk7_EoteopTz5hqptRR
172,Python programozás kezdőknek,Kóder Klub,PLUnQJ5ZQoqQJT_sSKYFRu8vP6vJxdo3OZ
173,【Python教學】由零開始，用最幽默的方式教導編程『完整』,Orion Academy,PLoDvOw64tSYtp7KCaz8Pm2zJvuFqKF7GB
174,【超入門コース】Python｜プログラミング初心者向け講座,キノコード / プログラミング学習動画のYouTuber,PLavQwENTsEBUHi7XZHGfKjTQQdOvnYPmB
175,Базовый Python 3,Андрей Андриевский,PLMB6wLyKp7lWSa816Oicnp6X66oZhBrP4
176,Python: Making a Discord Bot (Rewrite / v1.x),Lucas,PLW3GfRiBCHOhfVoiDZpSz8SM_HybXRPzZ
177,Python Tutorial for Beginners,Navin Reddy vlogs,PLY-UbAd0uV4N98dg5_vImpHhL30qkvvK4
178,Python Beginner Tutorial,Chris Hawkes,PLei96ZX_m9sWS2gm1zGqGq6ZzU9T5QSg7
179,PYTHON,Δημήτρης Ψούνης,PLLMmbOLFy25Eohpgb_V3GWKdf8sL0Upvt
180,PYTHON v3 Giriş,BilgisayarKavramlari,PLh9ECzBB8tJNTYpfiDs3PVlCZIwE9Gz0e
181,"สอน Python สำหรับ data science ด้วย Jupyter notebook, pandas",prasertcbs,PLoTScYm9O0GFVfRk_MmZt0vQXNIi36LUz
182,Corso rapido Python per principianti e per esempi  ITA (playlist 1),fcamuso,PL0qAPtx8YtJdbiBCoj4j6x_Ai6Vu9j5r9
183,Python 3.9 Komple Eğitim Serisi,evieplus Academy,PLtTs2BKyiS4C0KLmXx-3k4ho5tfW3Gs5C
184,PyTorch Tutorial - Neuronale Netze in Python Deutsch/German,The Morpheus Tutorials,PLNmsVeXQZj7rx55Mai21reZtd_8m-qe27
185,Khanacademy - Python,Gladson Simplício Brito,PLJR1V_NHIKrCkswPMULzQFHpYa57ZFGbs
186,Neural Networks from Scratch in Python,sentdex,PLQVvvaa0QuDcjD5BAw2DxE6OF2tius3V3
187,中学生でもわかるPython入門シリーズ,いまにゅのプログラミング塾,PLCZyyif9kAwX7rlXKrJTlPQs9Nk7TBAHO
188,Python Basics,Engineer Man,PLlcnQQJK8SUjW_HiBWhZ_XOfCq9Hu0aeY
189,Kurs Python - Programowanie,Kanał o Wszystkim,PL6aekdNhY7DBGiMXnmBYjImq_vW32QftK
190,Imparare a programmare in Python,AssMaggiolina,PL7-nEkrCf_kaR_fc7uzSSGtz-bO06JJe9
191,Full Python Tutorial in Telugu | Telugu Web Guru,telugu web guru,PLh6Yk2rpZu2JgeekeyLRQcwZsfLNbW8zQ
192,Python – Intermediate and Advanced Features,Real Python,PLP8GkvaIxJP0VAXF3USi9U4JnpxUvQXHx
193,30 Days of Python ~ Python 3.8+,CodingEntrepreneurs,PLEsfXFp6DpzQjDBvhNy5YbaBx9j-ZsUe6
194,Python Bangla Tutorial &amp; Machine Learning Full Course | Machine Learning | Deep Learning | Data Science | Bangla Python Tutorial for Beginners,study mart,PLKdU0fuY4OFcot0zyVbM1-zKf_eCUK4zQ
195,Python,Computer Science Center,PLlb7e2G7aSpTTNp7HBYzCBByaE1h54ruW
196,Python Tutorial for Beginners,Durga Software Solutions,PLd3UqWTnYXOmyf2Q4-J_XsgzOdOUoBCXL
197,Python programiranje,Milan Tair,PL-UTrxF0y8kI8iBHB2NBArbaHb11LVnGv
198,Learn 100+ Python Pattern Programs by Durga Sir,Durga Software Solutions,PLd3UqWTnYXOmHGIurNDgStXNOsxjItRAz
199,爬虫基础教学 (Python Scraping 教程),莫烦Python,PLXO45tsB95cIuXEgV-mvYWRd_hVC43Akk
200,Python Dersleri (Türkçe),Yakın Kampüs,PLWctyKyPphPiul3WbHkniANLqSheBVP3O
201,Kivy - Mobile and Desktop App Dev w/ Python,sentdex,PLQVvvaa0QuDfwnDTZWw8H3hN_VRQfq8rF
202,Data Visualization GUIs with Dash and Python,sentdex,PLQVvvaa0QuDfsGImWNt1eUEveHOepkjqt
203,Python Tutorials in Telugu || Python in telugu by Kotha Abhishek,KOTHA ABHISHEK,PLv_sM9ZH4RUXF7ARa1ogf8lJpCtgV10eu
204,Python 3 ( Hindi ) Full course,Tech-Gram Academy,PLjC8JXsSUrriq4lEMtDruOYojZdrMKY6y
205,Tutoriels PYTHON,Yvan Monka,PLVUDmbpupCaobTdn2MIqD-DV6AUvEuUll
206,【千锋】Python从入门到精通（小白必看！）（199集）,千锋教育,PLwDQt7s1o9J5ZXvpcr9lGcLn4-6B5XM-4
207,Deep Learning (for Audio) with Python,Valerio Velardo - The Sound of AI,PL-wATfeyAMNrtbkCNsLcpoAyBBRJZVlnf
208,Объектно-ориентированное программирование (ООП) Python,egoroff_channel,PLQAt0m1f9OHvyjJNjZK_unnLwMOXPTja8
209,Programación orientada a objetos con  PYTHON  (completo) 2020,yacklyon,PLg9145ptuAigw5pV_DRznXdOsX19dorDs
210,Python Tutorial Videos 2020 [Updated]| Simplilearn,Simplilearn,PLEiEAq2VkUUKoW1o-A-VEmkoGKSC26i_I
211,Python - Curso Versión 2,John Ortiz Ordoñez,PL2PZw96yQChwQjUsXbDMtKmAgqj6jV-do
212,Curso Python para científicos e ingenieros,UA - Universitat d'Alacant / Universidad de Alicante,PLoGFizEtm_6iheDXw2-8onKClyxgstBO1
213,Python Programming for Beginners!,TheCodex,PLB5jA40tNf3scN7gwpDOx0gBm-otmXVoz
214,Python Problem Solving,T3SO Tutorials,PLH1n1sJO7tbxmE36txTPhgidmW5Z9Bn7m
